State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Placerville,2,2,0,0,0,1,1,0,2,"10,025"
,,Pleasant Hill,3,0,0,0,0,0,0,1,2,"32,841"
,,Pomona,4,0,0,0,0,1,2,0,1,"153,217"
,,Porterville,0,0,0,1,0,0,0,1,0,"52,555"
,,Poway,2,1,0,0,0,0,2,1,0,"48,931"
,,Rancho Palos Verdes,2,0,0,0,0,1,1,0,0,"41,093"
,,Redding,10,0,1,2,0,4,1,6,2,"91,242"
,,Redlands,0,0,1,0,0,0,0,0,1,"70,360"
,,Redondo Beach,3,0,0,2,0,1,2,1,1,"67,268"
,,Redwood City3,4,0,0,1,0,2,2,1,0,"73,905"
,,Richmond,3,1,0,0,0,1,0,2,1,"102,566"
,,Rio Vista,0,0,0,1,0,1,0,0,0,"8,256"
,,Riverside,2,4,2,2,0,4,1,4,1,"299,871"
,,Roseville,1,0,0,2,0,1,2,0,0,"116,846"
,,Sacramento,2,1,5,1,0,4,2,2,1,"470,308"
,,Salinas,2,1,0,0,0,0,2,1,0,"143,660"
,,San Bernardino,3,0,0,1,0,2,0,1,1,"199,683"
,,San Diego,12,7,15,8,1,14,14,12,3,"1,314,773"
,,San Fernando,0,1,0,0,0,0,0,1,0,"23,856"
,,San Francisco,4,10,6,3,0,9,7,3,4,"809,755"
,,San Jacinto,1,0,0,0,0,0,0,1,0,"39,848"
,,San Jose,23,7,9,1,0,14,15,8,3,"954,009"
,,San Juan Capistrano,1,0,0,0,0,0,0,0,1,"34,896"
,,San Leandro,0,0,1,0,0,0,0,1,0,"77,676"
,,San Luis Obispo,2,0,5,0,0,1,4,1,1,"43,565"
,,San Marcos,1,0,1,0,0,1,0,1,0,"82,258"
,,San Mateo,1,0,0,2,0,1,2,0,0,"92,208"
,,San Rafael,5,0,2,0,0,0,4,3,0,"55,544"
,,Santa Ana,1,0,2,0,0,0,1,2,0,"339,196"
,,Santa Barbara,3,1,1,0,0,2,2,1,0,"85,715"
,,Santa Clara,0,0,1,0,0,0,0,1,0,"111,106"
,,Santa Clarita,5,1,3,3,0,4,3,4,1,"171,112"
,,Santa Cruz,1,3,4,0,0,2,2,4,0,"56,155"
,,Santa Maria,1,0,0,0,0,0,0,0,1,"87,381"
,,Santa Monica,1,0,1,1,0,0,1,1,1,"88,038"
,,Santa Paula,0,0,2,1,0,3,0,0,0,"28,603"
,,Santa Rosa,1,0,0,0,0,0,0,1,0,"156,541"
