State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Orland,1,0,0,0,0,0,0,1,0,0,"7,624"
,,Oxnard,2,4,1,0,0,0,0,2,5,0,"209,513"
,,Pacifica,1,0,1,0,0,0,1,0,1,0,"39,353"
,,Pacific Grove,0,1,0,0,0,0,0,1,0,0,"15,716"
,,Palmdale,3,0,0,0,0,0,2,1,0,0,"158,094"
,,Palm Springs,0,0,3,0,0,0,1,1,0,1,"48,193"
,,Palo Alto,2,3,0,0,0,0,4,0,1,0,"67,441"
,,Paradise,1,0,0,0,0,0,0,0,1,0,"26,610"
,,Pasadena,1,1,0,0,0,1,0,1,2,0,"142,891"
,,Petaluma,5,1,2,0,0,0,5,1,1,1,"60,957"
,,Pico Rivera,0,0,2,0,0,1,2,0,1,0,"63,746"
,,Piedmont,1,1,0,0,0,0,0,0,2,0,"11,464"
,,Placentia,1,0,0,0,0,0,0,1,0,0,"52,437"
,,Pleasant Hill,0,1,0,0,0,0,1,0,0,0,"35,136"
,,Pomona,1,1,1,0,0,0,0,2,1,0,"153,066"
,,Rancho Cordova,2,0,0,0,0,0,0,1,0,1,"73,607"
,,Red Bluff,0,0,1,0,0,0,0,0,0,1,"14,169"
,,Redding,11,0,4,0,0,0,4,3,5,3,"92,127"
,,Redlands,1,1,0,0,0,0,0,0,2,0,"71,707"
,,Redwood City,2,0,0,0,0,0,0,0,2,0,"86,353"
,,Reedley,0,1,0,0,0,0,0,0,0,1,"25,794"
,,Rialto,1,0,0,0,0,0,1,0,0,0,"103,980"
,,Richmond,3,0,2,0,0,0,1,0,2,2,"110,804"
,,Riverside,4,4,0,0,0,0,3,3,1,1,"328,023"
,,Roseville,12,6,1,0,0,0,7,6,5,1,"135,028"
,,Sacramento,2,2,0,0,0,1,1,2,1,1,"499,997"
,,Salinas,0,0,1,0,0,0,0,0,1,0,"158,313"
,,San Bernardino,4,0,4,0,0,0,4,2,2,0,"217,259"
,,San Clemente,1,0,0,0,0,0,0,1,0,0,"65,596"
,,San Diego,17,12,11,0,0,1,17,14,7,3,"1,424,116"
,,San Fernando,0,1,0,0,0,0,1,0,0,0,"24,899"
,,San Francisco,19,8,12,0,0,4,10,6,13,14,"881,255"
,,San Gabriel,1,1,0,0,0,0,1,0,0,1,"40,531"
,,San Jacinto,1,0,0,0,0,0,0,1,0,0,"47,932"
,,San Jose,26,11,7,0,0,1,10,8,16,11,"1,037,529"
,,San Leandro,6,0,3,1,0,0,3,5,1,1,"91,386"
,,San Luis Obispo,2,2,1,0,0,0,0,3,1,1,"47,934"
,,San Marcos,1,1,0,0,0,0,1,0,1,0,"97,290"
,,San Mateo,2,0,0,0,0,0,1,1,0,0,"105,090"
,,San Rafael,3,0,0,0,0,0,1,2,0,0,"59,144"
,,San Ramon,2,1,0,0,0,0,1,1,0,1,"76,325"
,,Santa Ana,1,2,0,0,0,0,0,1,1,1,"335,699"
,,Santa Clara,1,0,0,0,0,0,0,0,1,0,"127,538"
,,Santa Clarita,5,5,3,0,0,0,1,6,5,1,"216,350"
,,Santa Cruz,5,1,3,0,0,0,2,3,2,2,"65,132"
,,Santa Monica,2,0,1,0,0,0,0,0,2,1,"92,935"
,,Santa Rosa,1,0,1,0,0,0,0,1,1,0,"176,361"
,,Santee,1,0,0,0,0,0,0,1,0,0,"58,563"
,,Simi Valley,0,2,1,0,0,0,1,0,2,0,"126,635"
,,South Gate,1,0,0,0,0,0,1,0,0,0,"95,717"
,,South Lake Tahoe,1,0,4,0,0,0,4,1,0,0,"21,768"
,,South San Francisco,1,0,1,0,0,0,0,0,0,2,"67,533"
,,St. Helena,2,0,0,0,0,0,0,1,1,0,"6,210"
,,Stockton,2,3,1,0,0,0,3,0,2,1,"309,566"
,,Sunnyvale,1,0,0,0,0,1,1,1,0,0,"154,919"
,,Taft,1,0,0,0,0,0,0,0,0,1,"9,393"
,,Thousand Oaks,0,1,0,0,0,0,0,1,0,0,"129,240"
,,Torrance,4,0,1,0,0,0,2,2,0,1,"147,482"
,,Turlock,3,0,0,0,0,0,0,0,2,1,"73,488"
,,Tustin,1,0,0,0,0,0,0,0,0,1,"81,246"
,,Union City,2,0,0,0,0,0,0,0,0,2,"76,311"
,,Vacaville,2,2,0,0,0,0,2,1,0,1,"99,293"
,,Ventura,4,0,0,0,0,0,2,0,1,1,"110,006"
,,Vernon,0,1,0,0,0,0,0,0,1,0,113
,,Victorville,1,0,1,0,0,0,0,1,1,0,"123,284"
,,Visalia,1,0,0,0,0,0,1,0,0,0,"132,143"
,,Vista,4,1,1,0,0,0,0,3,2,1,"103,004"
,,Walnut,1,0,0,0,0,0,0,1,0,0,"30,189"
,,West Covina,0,3,0,0,0,0,3,0,0,0,"108,128"
,,West Hollywood,5,0,4,0,0,0,4,1,2,2,"37,093"
,,Westminster,2,2,0,0,0,0,0,2,2,0,"91,863"
,,Wildomar,1,0,0,0,0,0,0,1,0,0,"36,683"
,,Windsor,0,0,1,0,0,0,1,0,0,0,"27,679"
,,Yorba Linda,0,1,0,0,0,0,0,0,1,0,"68,889"
,,Yucca Valley,1,0,0,0,0,0,0,0,0,1,"21,806"
,Universities and Colleges,,19,7,6,0,0,0,,,,,
,,California State University:,,,,,,,,,,,
,,Dominguez Hills,2,0,0,0,0,0,0,1,1,0,"14,731"
,,Long Beach,1,2,0,0,0,0,1,1,1,0,"37,776"
,,Monterey Bay,1,0,1,0,0,0,0,1,0,1,"7,274"
,,San Bernardino,1,0,0,0,0,0,1,0,0,0,"20,767"
,,Riverside Community College,2,0,0,0,0,0,0,0,0,2,"38,677"
,,San Diego State University,0,1,0,0,0,0,0,0,0,1,"34,688"
,,San Francisco State University,0,0,1,0,0,0,0,0,1,0,"29,045"
,,State Center Community College District,3,0,0,0,0,0,0,0,0,3,"39,661"
,,University of California:  ,,,,,,,,,,,
,,Berkeley ,3,0,2,0,0,0,3,0,1,1,"40,154"
,,Los Angeles ,3,1,1,0,0,0,1,0,3,1,"43,548"
,,San Diego ,0,0,1,0,0,0,0,0,0,1,"34,979"
,,San Francisco,0,2,0,0,0,0,0,2,0,0,"3,145"
,,Santa Barbara,2,0,0,0,0,0,0,2,0,0,"24,346"
,,"Medical Center, Sacramento3",0,1,0,0,0,0,0,1,0,0,
,,Ventura County Community College District,1,0,0,0,0,0,0,0,1,0,"33,976"
,Metropolitan Counties,,51,12,17,0,0,3,,,,,
,,Alameda,1,0,1,0,0,0,0,1,1,0,
,,Contra Costa,1,0,0,0,0,0,0,0,0,1,
,,El Dorado,2,0,0,0,0,0,0,0,1,1,
,,Fresno,1,0,1,0,0,0,1,0,1,0,
,,Kern,2,0,0,0,0,0,0,1,0,1,
,,Los Angeles,6,5,4,0,0,0,2,5,5,3,
,,Marin,0,1,0,0,0,0,1,0,0,0,
,,Monterey,1,0,0,0,0,0,0,1,0,0,
,,Riverside,1,0,0,0,0,0,0,1,0,0,
,,Sacramento,8,1,1,0,0,1,4,0,4,3,
,,San Bernardino,2,1,0,0,0,0,1,2,0,0,
,,San Diego,7,0,7,0,0,0,3,4,4,3,
,,San Luis Obispo,3,0,0,0,0,0,0,1,1,1,
,,San Mateo,0,1,0,0,0,0,0,0,1,0,
,,Santa Barbara,2,0,2,0,0,0,1,3,0,0,
,,Santa Clara,1,0,0,0,0,2,1,1,0,1,
,,Santa Cruz,1,1,0,0,0,0,0,0,2,0,
,,Solano,1,0,0,0,0,0,0,0,0,1,
,,Sonoma,4,0,1,0,0,0,2,2,1,0,
,,Stanislaus,1,0,0,0,0,0,0,0,1,0,
,,Sutter,0,1,0,0,0,0,0,0,0,1,
,,Ventura,2,1,0,0,0,0,0,0,2,1,
,,Yuba,4,0,0,0,0,0,3,1,0,0,
,Nonmetropolitan Counties,,3,1,2,0,0,0,,,,,
,,Calaveras,1,0,0,0,0,0,0,0,0,1,
,,Lake,0,1,1,0,0,0,0,0,0,2,
,,Mendocino,1,0,0,0,0,0,1,0,0,0,
,,Nevada,0,0,1,0,0,0,0,1,0,0,
,,Plumas,1,0,0,0,0,0,0,0,1,0,
,Other Agencies,,6,0,6,0,0,0,,,,,
,,Department of Parks and Recreation:,,,,,,,,,,,
,,Marin County,1,0,0,0,0,0,0,0,1,0,
,,Oceano Dunes,0,0,1,0,0,0,0,1,0,0,
,,Los Angeles Transportation Services Bureau,3,0,3,0,0,0,2,3,1,0,
,,Port of San Diego Harbor,0,0,1,0,0,0,0,0,0,1,
,,San Francisco Bay Area Rapid Transit:  ,,,,,,,,,,,
,,Alameda County,1,0,0,0,0,0,0,0,0,1,
,,San Francisco County,1,0,1,0,0,0,1,0,1,0,
Colorado,Total,,61,26,18,1,1,1,,,,,
,Cities,,49,16,13,1,1,1,,,,,
,,Arvada,1,0,1,0,0,0,2,0,0,0,"119,346"
,,Aspen,1,0,0,0,0,0,0,1,0,0,"6,906"
,,Aurora,14,3,1,0,0,0,8,7,2,1,"368,018"
,,Boulder,2,1,0,0,0,0,2,1,0,0,"109,722"
,,Brighton,0,0,1,0,0,0,0,0,1,0,"39,099"
,,Broomfield,1,0,0,0,0,0,1,0,0,0,"68,158"
,,Canon City,0,1,0,0,0,0,1,0,0,0,"16,723"
,,Castle Rock,2,0,0,0,0,0,0,1,0,1,"59,337"
,,Centennial,2,0,0,0,0,0,1,0,1,0,"111,416"
,,Colorado Springs,0,1,0,0,0,0,0,0,1,0,"472,958"
,,Delta2,0,0,0,1,1,0,0,0,0,1,"8,925"
,,Denver,9,2,6,0,0,0,4,7,1,5,"706,616"
,,Durango,0,1,0,0,0,0,0,0,1,0,"18,801"
,,Englewood,2,0,0,0,0,0,0,1,1,0,"34,709"
,,Fruita,0,0,1,0,0,0,1,0,0,0,"12,971"
,,Golden,1,0,0,0,0,0,0,0,0,1,"20,948"
,,Grand Junction,0,1,1,0,0,0,1,1,0,0,"62,352"
,,Greeley,3,0,0,0,0,0,1,0,1,1,"105,906"
,,Idaho Springs,1,0,0,0,0,0,0,0,0,1,"1,751"
,,Lafayette,0,1,0,0,0,0,0,0,1,0,"28,939"
,,Lakewood,3,0,1,0,0,0,3,1,0,0,"156,344"
,,Littleton,0,3,0,0,0,0,1,2,0,0,"47,112"
,,Longmont2,1,0,0,0,0,1,0,0,1,0,"93,979"
,,Loveland,1,0,1,0,0,0,0,1,1,0,"78,671"
,,Monument,1,0,0,0,0,0,1,0,0,0,"6,644"
,,Northglenn,0,1,0,0,0,0,0,1,0,0,"39,520"
,,Pueblo,2,0,0,0,0,0,0,0,1,1,"110,872"
,,Steamboat Springs,0,1,0,0,0,0,1,0,0,0,"12,799"
,,Trinidad,1,0,0,0,0,0,0,0,0,1,"7,961"
,,Windsor,1,0,0,0,0,0,0,0,0,1,"23,523"
,Universities and Colleges,,3,1,0,0,0,0,,,,,
